,computationTime,networkTime,plt,timestamp
0,318.0,313.0,636.0,1526920325.0
0,371.0,351.0,729.0,1526920384.0
0,450.0,322.0,778.0,1526920445.0
0,430.0,314.0,749.0,1526920505.0
0,368.0,319.0,692.0,1526920565.0
0,471.0,359.0,836.0,1526920625.0
0,422.0,319.0,747.0,1526920685.0
0,424.0,334.0,764.0,1526920745.0
0,412.0,329.0,747.0,1526920805.0
0,330.0,345.0,684.0,1526920864.0
0,372.0,319.0,700.0,1526920925.0
0,384.0,308.0,695.0,1526920984.0
0,416.0,339.0,760.0,1526921045.0
0,487.0,325.0,818.0,1526921105.0
0,393.0,317.0,716.0,1526921165.0
0,434.0,313.0,757.0,1526921225.0
0,467.0,350.0,824.0,1526921285.0
0,379.0,306.0,690.0,1526921345.0
