,networkTime,plt,protocol,renderingTime,test_case,ttfb
0,637.6666666666666,1671.3333333333333,http1,1030.3333333333333,h1_3_h2_7,629.0
1,645.8571428571429,2144.714285714286,http2,1496.0,h1_3_h2_7,637.7142857142857
2,660.0,1744.0,http1,1081.6666666666667,h1_3_h2_7,650.3333333333334
3,674.1428571428571,1774.142857142857,http2,1097.4285714285713,h1_3_h2_7,665.5714285714286
4,623.0,1763.6666666666667,http1,1137.3333333333333,h1_3_h2_7,614.3333333333334
5,649.0,2473.1428571428573,http2,1820.5714285714287,h1_3_h2_7,641.5714285714286
6,633.6666666666666,1722.3333333333333,http1,1083.3333333333333,h1_3_h2_7,626.6666666666666
7,640.1428571428571,1771.2857142857142,http2,1128.4285714285713,h1_3_h2_7,631.8571428571429
8,635.0,1840.6666666666667,http1,1201.6666666666667,h1_3_h2_7,627.0
9,640.0,2050.1428571428573,http2,1406.0,h1_3_h2_7,633.1428571428571
10,644.0,1858.0,http1,1210.3333333333333,h1_3_h2_7,635.0
11,641.7142857142857,1833.142857142857,http2,1188.4285714285713,h1_3_h2_7,633.4285714285714
12,641.5,2322.0,http1,1677.0,h1_3_h2_7,632.5
13,655.2857142857143,4060.8571428571427,http2,3402.0,h1_3_h2_7,647.7142857142857
14,635.0,1726.0,http1,1086.3333333333333,h1_3_h2_7,626.6666666666666
15,636.1428571428571,1917.4285714285713,http2,1278.4285714285713,h1_3_h2_7,628.0
16,656.0,1705.0,http1,1043.5,h1_3_h2_7,648.5
17,643.0,1874.5714285714287,http2,1228.857142857143,h1_3_h2_7,634.7142857142857
18,621.3333333333334,1701.0,http1,1077.0,h1_3_h2_7,612.0
19,629.0,1779.4285714285713,http2,1147.142857142857,h1_3_h2_7,621.1428571428571
20,633.8,1887.2,http1,1250.0,h1_5_h2_5,625.2
21,620.0,2839.8,http2,2216.4,h1_5_h2_5,612.4
22,635.0,1704.0,http1,1065.4,h1_5_h2_5,626.6
23,636.0,1871.6,http2,1233.0,h1_5_h2_5,628.0
24,635.2,1827.6,http1,1189.4,h1_5_h2_5,626.2
25,647.0,1931.25,http2,1280.25,h1_5_h2_5,640.25
26,626.6,1725.8,http1,1096.4,h1_5_h2_5,617.4
27,641.4,1914.4,http2,1269.8,h1_5_h2_5,633.6
28,655.5,1753.0,http1,1094.0,h1_5_h2_5,646.5
29,648.6,2074.2,http2,1422.4,h1_5_h2_5,640.8
30,628.0,1686.4,http1,1055.4,h1_5_h2_5,619.4
31,649.6,2059.8,http2,1408.0,h1_5_h2_5,641.0
32,633.5,1711.0,http1,1072.0,h1_5_h2_5,627.0
33,646.8,1978.8,http2,1328.8,h1_5_h2_5,639.0
34,622.0,1720.5,http1,1095.25,h1_5_h2_5,613.5
35,650.8,2108.4,http2,1454.4,h1_5_h2_5,643.0
36,635.4,1767.4,http1,1127.4,h1_5_h2_5,627.8
37,705.0,2038.6,http2,1330.6,h1_5_h2_5,697.0
38,627.0,1709.0,http1,1078.2,h1_5_h2_5,619.0
39,640.2,1852.6,http2,1209.2,h1_5_h2_5,632.4
40,665.8571428571429,1969.7142857142858,http1,1300.857142857143,h1_7_h2_3,657.2857142857143
41,709.0,2139.0,http2,1427.0,h1_7_h2_3,701.0
42,631.2857142857143,1847.5714285714287,http1,1211.7142857142858,h1_7_h2_3,624.2857142857143
43,628.6666666666666,2809.3333333333335,http2,2176.0,h1_7_h2_3,622.3333333333334
44,652.6666666666666,1824.0,http1,1167.3333333333333,h1_7_h2_3,644.8333333333334
45,639.6666666666666,2150.3333333333335,http2,1507.6666666666667,h1_7_h2_3,631.6666666666666
46,635.1428571428571,1680.4285714285713,http1,1041.857142857143,h1_7_h2_3,626.8571428571429
47,645.6666666666666,1979.0,http2,1330.3333333333333,h1_7_h2_3,637.6666666666666
48,631.7142857142857,1823.4285714285713,http1,1188.4285714285713,h1_7_h2_3,623.5714285714286
49,657.6666666666666,2390.0,http2,1729.3333333333333,h1_7_h2_3,649.6666666666666
50,630.5,1726.6666666666667,http1,1092.5,h1_7_h2_3,622.5
51,667.3333333333334,2184.3333333333335,http2,1515.0,h1_7_h2_3,659.0
52,642.0,1709.0,http1,1064.0,h1_7_h2_3,633.3333333333334
53,642.3333333333334,2079.3333333333335,http2,1434.3333333333333,h1_7_h2_3,634.0
54,623.0,1909.3333333333333,http1,1282.8333333333333,h1_7_h2_3,614.3333333333334
55,665.0,2717.3333333333335,http2,2050.3333333333335,h1_7_h2_3,656.0
56,627.1428571428571,1831.7142857142858,http1,1201.0,h1_7_h2_3,619.0
57,640.3333333333334,1975.3333333333333,http2,1332.3333333333333,h1_7_h2_3,632.3333333333334
58,640.2857142857143,1747.7142857142858,http1,1104.857142857143,h1_7_h2_3,631.2857142857143
59,642.3333333333334,1845.6666666666667,http2,1199.6666666666667,h1_7_h2_3,635.3333333333334
